id_produit,nom_produit,description,prix_unitaire,stock
1,L'assurance d'atteindre vos buts de manière sûre,Celui cruel serrer digne rester poésie. Immense étage projet flot aimer.,750.9,363
2,La possibilité d'évoluer à la pointe,Pourtant rose dire vin social. Fort son nature. Verser aller chaîne rapide.,585.13,176
3,L'assurance d'innover autrement,Vêtir police ni. Mode foi confiance solitude retour. Souvenir ni dix.,4191.39,304
4,L'assurance de rouler à la pointe,Lune passé détail large bruit peuple bouche. Yeux résoudre lueur temps moi égal.,1411.85,467
5,L'avantage de concrétiser vos projets de manière sûre,Emmener oncle vision importer. Protéger vue noire je appartenir moins delà.,2873.6,257
6,L'assurance d'avancer plus rapidement,Roman bon bête bande au. Taille naturel devoir cheveu vieux sombre.,3136.77,123
7,Le plaisir de changer sans soucis,Perdu cuisine toit grand retour forêt désigner. Tout terrible inspirer compagnie pierre.,4488.97,348
8,Le pouvoir d'innover à l'état pur,Prêter huit rire après. Yeux poète recueillir. Cher énergie dame petit aussi sorte planche.,4586.99,447
9,Le droit d'atteindre vos buts plus rapidement,Attirer effet bleu choix assister gris danger.,3297.59,26
10,Le droit d'atteindre vos buts à sa source,Aujourd'Hui tranquille ennemi garçon. Mal village arrivée inquiétude an autrefois.,425.84,280
11,L'art de concrétiser vos projets avant-tout,Donner porte elle assurer sentiment feuille. Amener classe fier table départ signer immense.,4521.88,17
12,La liberté d'avancer de manière efficace,Dégager conduire général nord beaucoup vent pareil. Compter parvenir bon soirée.,620.66,79
13,Le confort d'avancer à la pointe,Apporter soin ville près désormais sans allumer. Roche demain maison violent sortir profiter.,452.48,218
14,L'art de concrétiser vos projets plus rapidement,Grâce nu glisser route affirmer sang. Gagner tantôt moi pays parce que.,3141.39,137
15,L'avantage d'atteindre vos buts autrement,Bras être saint tu. Ah agir dans.,2990.71,367
